Symptoms,Outcome,Weight
 SERUM FERRITIN INCREASED,VISITED A HEALTH CARE PROVIDER,17
 SENSATION OF HEAVINESS, HOSPITALIZATION,17
 SECRETION DISCHARGE, VISITED A HEALTH CARE PROVIDER,17
 SCAR,HOSPITALIZATION,17
 SALMONELLOSIS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 RHINORRHOEA, HOSPITALIZATION,17
 RHABDOMYOLYSIS,LIFE THREATENING,17
 RESPIRATORY TRACT CONGESTION,VISITED AN ER,17
 RENAL PAIN, VISITED A HEALTH CARE PROVIDER,17
 RENAL FAILURE CHRONIC, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 RENAL FAILURE, VISITED AN ER,17
 RENAL CYST, SERIOUS INJURIES/ ILLNESS,17
 RENAL CYST, LIFE THREATENING,17
 RASH PAPULAR, VISITED AN ER,17
 RASH MACULAR,VISITED AN ER,17
 RASH ERYTHEMATOUS, VISITED AN ER,17
 PSYCHOTIC DISORDER, VISITED A HEALTH CARE PROVIDER,17
 PRODUCTIVE COUGH, HOSPITALIZATION,17
 PROCTALGIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 POISONING, LIFE THREATENING,17
 PO2 DECREASED, SERIOUS INJURIES/ ILLNESS,17
 PHOTOPSIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 PHOTOPHOBIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 PHARYNGEAL OEDEMA, SERIOUS INJURIES/ ILLNESS,17
 PERIPHERAL COLDNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 PARANOIA,VISITED AN ER,17
 PAIN IN JAW, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 ORAL PAIN,NON-SERIOUS INJURIES/ ILLNESS,17
 OEDEMA MOUTH,NON-SERIOUS INJURIES/ ILLNESS,17
 OCULAR ICTERUS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 OCULAR ICTERUS,VISITED AN ER,17
 OBSTRUCTIVE AIRWAYS DISORDER, HOSPITALIZATION,17
 NERVOUSNESS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 NERVOUSNESS, LIFE THREATENING,17
 NERVOUS SYSTEM DISORDER,VISITED A HEALTH CARE PROVIDER,17
 MYOCARDIAL INFARCTION, DEATH,17
 MUSCULOSKELETAL PAIN,VISITED A HEALTH CARE PROVIDER,17
 MUSCLE TWITCHING, VISITED AN ER,17
 MUSCLE SPASMS,LIFE THREATENING,17
 MULTIPLE INJURIES, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 MUCOSAL DRYNESS, VISITED A HEALTH CARE PROVIDER,17
 MUCOSAL DRYNESS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 MUCOSAL DRYNESS,HOSPITALIZATION,17
 MOOD SWINGS,NON-SERIOUS INJURIES/ ILLNESS,17
 MENTAL IMPAIRMENT,HOSPITALIZATION,17
 MASTICATION DISORDER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 MALNUTRITION,HOSPITALIZATION,17
 MACULAR DEGENERATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 LOCAL SWELLING,LIFE THREATENING,17
 LIVER INJURY,SERIOUS INJURIES/ ILLNESS,17
 LIVER INJURY, LIFE THREATENING,17
 LIP BLISTER,NON-SERIOUS INJURIES/ ILLNESS,17
 LEFT ATRIAL DILATATION, VISITED A HEALTH CARE PROVIDER,17
 LEFT ATRIAL DILATATION,HOSPITALIZATION,17
 LACERATION,VISITED A HEALTH CARE PROVIDER,17
 LACERATION,HOSPITALIZATION,17
 KETOACIDOSIS, VISITED A HEALTH CARE PROVIDER,17
 KETOACIDOSIS,VISITED AN ER,17
 JOINT SWELLING, HOSPITALIZATION,17
 IRRITABLE BOWEL SYNDROME, VISITED A HEALTH CARE PROVIDER,17
 INTESTINAL OBSTRUCTION, SERIOUS INJURIES/ ILLNESS,17
 INTERNATIONAL NORMALISED RATIO DECREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 INFLAMMATION,VISITED AN ER,17
 INFLAMMATION, NON-SERIOUS INJURIES/ ILLNESS,17
 INFARCTION, VISITED A HEALTH CARE PROVIDER,17
 INFARCTION, VISITED AN ER,17
 IMMUNE SYSTEM DISORDER,HOSPITALIZATION,17
 HYPOVITAMINOSIS,HOSPITALIZATION,17
 HYPOTHYROIDISM,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 HYPOTENSION,NON-SERIOUS INJURIES/ ILLNESS,17
 HYPERKALAEMIA, VISITED A HEALTH CARE PROVIDER,17
 HOT FLUSH,VISITED AN ER,17
 HORMONE LEVEL ABNORMAL, VISITED A HEALTH CARE PROVIDER,17
 HORMONE LEVEL ABNORMAL,VISITED A HEALTH CARE PROVIDER,17
 HEPATOMEGALY, LIFE THREATENING,17
 HEPATOCELLULAR DAMAGE, SERIOUS INJURIES/ ILLNESS,17
 HEPATIC FUNCTION ABNORMAL, VISITED A HEALTH CARE PROVIDER,17
 HEPATIC ENZYME INCREASED,DISABILITY,17
 HEART RATE IRREGULAR,SERIOUS INJURIES/ ILLNESS,17
 HEART RATE INCREASED, NON-SERIOUS INJURIES/ ILLNESS,17
 HEART RATE DECREASED,VISITED A HEALTH CARE PROVIDER,17
 HEAD INJURY, VISITED A HEALTH CARE PROVIDER,17
 HEAD INJURY, HOSPITALIZATION,17
 HEAD DISCOMFORT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 HAEMORRHAGE,DISABILITY,17
 HAEMOGLOBIN DECREASED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 GRAND MAL CONVULSION,HOSPITALIZATION,17
 GASTROINTESTINAL DISORDER,LIFE THREATENING,17
 GAIT DISTURBANCE, LIFE THREATENING,17
 FURUNCLE, LIFE THREATENING,17
 FREQUENT BOWEL MOVEMENTS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 FOOD ALLERGY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 FOAMING AT MOUTH,VISITED A HEALTH CARE PROVIDER,17
 FEELING HOT, SERIOUS INJURIES/ ILLNESS,17
 FEAR, VISITED AN ER,17
 FAECES DISCOLOURED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 ERECTILE DYSFUNCTION, DISABILITY,17
 ECZEMA,HOSPITALIZATION,17
 DYSPEPSIA,SERIOUS INJURIES/ ILLNESS,17
 DYSARTHRIA, VISITED A HEALTH CARE PROVIDER,17
 DYSARTHRIA,LIFE THREATENING,17
 DRY THROAT, VISITED AN ER,17
 DRUG-INDUCED LIVER INJURY, VISITED AN ER,17
 DRUG INTERACTION, HOSPITALIZATION,17
 DIVERTICULITIS,SERIOUS INJURIES/ ILLNESS,17
 DIVERTICULITIS,VISITED A HEALTH CARE PROVIDER,17
 DISCOMFORT, NON-SERIOUS INJURIES/ ILLNESS,17
 DISABILITY, HOSPITALIZATION,17
 DEPRESSED LEVEL OF CONSCIOUSNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 DEFAECATION URGENCY,VISITED A HEALTH CARE PROVIDER,17
 CYANOSIS, VISITED A HEALTH CARE PROVIDER,17
 CRYING, VISITED AN ER,17
 CONTUSION, VISITED A HEALTH CARE PROVIDER,17
 CONSTIPATION, DISABILITY,17
 COMPUTERISED TOMOGRAM ABNORMAL, LIFE THREATENING,17
 COMPUTERISED TOMOGRAM ABDOMEN ABNORMAL,VISITED AN ER,17
 COGNITIVE DISORDER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 CHOLECYSTECTOMY, VISITED A HEALTH CARE PROVIDER,17
 CHILLS,LIFE THREATENING,17
 CHILLS,DISABILITY,17
 CHEST X-RAY ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 CEREBRAL HAEMORRHAGE, DEATH,17
 CARDIAC FLUTTER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 CARDIAC FAILURE, SERIOUS INJURIES/ ILLNESS,17
 BRONCHITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 BONE PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 BODY TEMPERATURE INCREASED,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 BLOOD UREA INCREASED, LIFE THREATENING,17
 BLOOD UREA INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 BLOOD TRIGLYCERIDES INCREASED,VISITED A HEALTH CARE PROVIDER,17
 BLOOD SODIUM DECREASED,VISITED AN ER,17
 BLOOD PRESSURE SYSTOLIC INCREASED,VISITED AN ER,17
 BLOOD POTASSIUM INCREASED, VISITED A HEALTH CARE PROVIDER,17
 BLOOD POTASSIUM INCREASED, LIFE THREATENING,17
 BLOOD MERCURY ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 BLOOD CREATINE PHOSPHOKINASE INCREASED, LIFE THREATENING,17
 BLOOD CHLORIDE DECREASED, HOSPITALIZATION,17
 BLOOD ALKALINE PHOSPHATASE INCREASED, DISABILITY,17
 BLOOD ALKALINE PHOSPHATASE INCREASED,DISABILITY,17
 BILIRUBIN CONJUGATED INCREASED, LIFE THREATENING,17
 BACTERIAL INFECTION, LIFE THREATENING,17
 AUTOIMMUNE HEPATITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 ATRIOVENTRICULAR BLOCK,HOSPITALIZATION,17
 ASCITES,VISITED AN ER,17
 APPENDICECTOMY, VISITED A HEALTH CARE PROVIDER,17
 APHASIA, LIFE THREATENING,17
 ANGER, HOSPITALIZATION,17
 ANGER,HOSPITALIZATION,17
 ALTERED VISUAL DEPTH PERCEPTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 ALOPECIA,HOSPITALIZATION,17
 AGE-RELATED MACULAR DEGENERATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 ADVERSE DRUG REACTION, VISITED AN ER,17
 ADVERSE DRUG REACTION, HOSPITALIZATION,17
 ACUTE HEPATIC FAILURE,LIFE THREATENING,17
 ABNORMAL BEHAVIOUR,NON-SERIOUS INJURIES/ ILLNESS,17
 ABNORMAL BEHAVIOUR,VISITED A HEALTH CARE PROVIDER,17
 ABDOMINAL DISCOMFORT, DISABILITY,17
 ABASIA,DISABILITY,17
WEIGHT INCREASED,HOSPITALIZATION,16
WEIGHT DECREASED, VISITED A HEALTH CARE PROVIDER,16
VISUAL IMPAIRMENT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
UTERINE CANCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
ULCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
TOOTH FRACTURE,VISITED A HEALTH CARE PROVIDER,16
THROMBOSIS,VISITED A HEALTH CARE PROVIDER,16
THROAT TIGHTNESS, SERIOUS INJURIES/ ILLNESS,16
SWOLLEN TONGUE, VISITED A HEALTH CARE PROVIDER,16
SWELLING FACE, VISITED A HEALTH CARE PROVIDER,16
STOMACH DISCOMFORT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
SNEEZING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
SKIN DISCOLOURATION,VISITED AN ER,16
RENAL FAILURE, LIFE THREATENING,16
RASH GENERALISED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
POISONING,VISITED A HEALTH CARE PROVIDER,16
PNEUMONIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
PANCREATITIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
PANCREATITIS, VISITED AN ER,16
PAIN IN EXTREMITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
PAIN IN EXTREMITY,VISITED A HEALTH CARE PROVIDER,16
OVARIAN CANCER,VISITED AN ER,16
OROPHARYNGEAL SWELLING, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
OROPHARYNGEAL SWELLING, HOSPITALIZATION,16
OROPHARYNGEAL PAIN,DISABILITY,16
MACULAR DEGENERATION,VISITED A HEALTH CARE PROVIDER,16
LOSS OF CONSCIOUSNESS,NON-SERIOUS INJURIES/ ILLNESS,16
LOCAL SWELLING, VISITED AN ER,16
LIVER DISORDER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
INTESTINAL OBSTRUCTION, HOSPITALIZATION,16
INFLUENZA LIKE ILLNESS, HOSPITALIZATION,16
INFLAMMATION,VISITED A HEALTH CARE PROVIDER,16
INFLAMMATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
HYPOAESTHESIA,VISITED A HEALTH CARE PROVIDER,16
HYPERTENSION, VISITED A HEALTH CARE PROVIDER,16
HOSPITALISATION, SERIOUS INJURIES/ ILLNESS,16
HEPATIC STEATOSIS,VISITED A HEALTH CARE PROVIDER,16
HALLUCINATION, HOSPITALIZATION,16
GLAUCOMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
GASTROINTESTINAL PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
GASTROINTESTINAL DISORDER, DISABILITY,16
FOREIGN BODY TRAUMA,SERIOUS INJURIES/ ILLNESS,16
FLUSHING, VISITED A HEALTH CARE PROVIDER,16
FLATULENCE, VISITED A HEALTH CARE PROVIDER,16
FEELING HOT, VISITED AN ER,16
FEELING ABNORMAL,HOSPITALIZATION,16
FEAR,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
FACE OEDEMA, VISITED AN ER,16
ERYTHEMA, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
EMOTIONAL DISTRESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
EMERGENCY CARE EXAMINATION, VISITED AN ER,16
DYSPEPSIA, HOSPITALIZATION,16
DRUG-INDUCED LIVER INJURY,VISITED A HEALTH CARE PROVIDER,16
DIZZINESS,DISABILITY,16
COUGH, HOSPITALIZATION,16
COLON CANCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
COLD SWEAT,VISITED AN ER,16
CHILLS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
CARCINOID TUMOUR,HOSPITALIZATION,16
BURNING SENSATION, LIFE THREATENING,16
BLOOD PRESSURE DECREASED,VISITED AN ER,16
BLOOD IRON DECREASED,HOSPITALIZATION,16
ASPARTATE AMINOTRANSFERASE INCREASED, LIFE THREATENING,16
APHONIA, VISITED A HEALTH CARE PROVIDER,16
ACNE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
ACNE,VISITED A HEALTH CARE PROVIDER,16
ABDOMINAL DISTENSION,DISABILITY,16
 YELLOW SKIN,SERIOUS INJURIES/ ILLNESS,16
 WHITE BLOOD CELL COUNT INCREASED,DISABILITY,16
 WEIGHT FLUCTUATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 VOMITING PROJECTILE,VISITED A HEALTH CARE PROVIDER,16
 VITAMIN B12 INCREASED,HOSPITALIZATION,16
 VISUAL DISTURBANCE,VISITED A HEALTH CARE PROVIDER,16
 VENTRICULAR EXTRASYSTOLES, DISABILITY,16
 VENTRICULAR EXTRASYSTOLES,LIFE THREATENING,16
 VAGINAL HAEMORRHAGE,HOSPITALIZATION,16
 URINARY INCONTINENCE, VISITED A HEALTH CARE PROVIDER,16
 URINARY INCONTINENCE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 TOOTH FRACTURE,NON-SERIOUS INJURIES/ ILLNESS,16
 THYROID FUNCTION TEST ABNORMAL, VISITED A HEALTH CARE PROVIDER,16
 THIRST,HOSPITALIZATION,16
 THERMAL BURN,NON-SERIOUS INJURIES/ ILLNESS,16
 SWELLING FACE,SERIOUS INJURIES/ ILLNESS,16
 STAPHYLOCOCCAL INFECTION, VISITED A HEALTH CARE PROVIDER,16
 SPEECH DISORDER,LIFE THREATENING,16
 SNEEZING,VISITED A HEALTH CARE PROVIDER,16
 SKIN DISORDER,DISABILITY,16
 SKIN DISORDER, LIFE THREATENING,16
 SKIN DESQUAMATION,NON-SERIOUS INJURIES/ ILLNESS,16
 SKIN DESQUAMATION, NON-SERIOUS INJURIES/ ILLNESS,16
 SINUSITIS,DISABILITY,16
 SINUSITIS, HOSPITALIZATION,16
 SHOCK, LIFE THREATENING,16
 SEPSIS,VISITED AN ER,16
 SEPSIS, VISITED AN ER,16
 SENSATION OF FOREIGN BODY,HOSPITALIZATION,16
 SELF ESTEEM DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 SCAR, LIFE THREATENING,16
 RHINORRHOEA, VISITED AN ER,16
 RHABDOMYOLYSIS, VISITED A HEALTH CARE PROVIDER,16
 RETINAL TEAR, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 RESPIRATORY RATE INCREASED,HOSPITALIZATION,16
 RENAL FAILURE ACUTE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 RED BLOOD CELL SEDIMENTATION RATE INCREASED,VISITED A HEALTH CARE PROVIDER,16
 RECTAL HAEMORRHAGE, VISITED A HEALTH CARE PROVIDER,16
 RECTAL FISSURE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 RASH,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
 PULMONARY CONGESTION, VISITED A HEALTH CARE PROVIDER,16
 PSYCHIATRIC SYMPTOM,SERIOUS INJURIES/ ILLNESS,16
 PROTHROMBIN TIME PROLONGED,HOSPITALIZATION,16
 PROTEINURIA, VISITED AN ER,16
 PRODUCTIVE COUGH,VISITED A HEALTH CARE PROVIDER,16
 POST-TRAUMATIC STRESS DISORDER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 PARALYSIS,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
 PARAESTHESIA ORAL, VISITED AN ER,16
 PARAESTHESIA ORAL, LIFE THREATENING,16
 PANCREATOLITHIASIS,HOSPITALIZATION,16
 PANCREATITIS,VISITED A HEALTH CARE PROVIDER,16
 PANCREATIC DISORDER, SERIOUS INJURIES/ ILLNESS,16
 PANCREATIC DISORDER,VISITED AN ER,16
 PAIN IN EXTREMITY, LIFE THREATENING,16
 OVARIAN CYST, VISITED A HEALTH CARE PROVIDER,16
 OVARIAN CYST, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 ORTHOSTATIC HYPOTENSION, DISABILITY,16
 ORTHOSTATIC HYPOTENSION,LIFE THREATENING,16
 ORAL DISCOMFORT, NON-SERIOUS INJURIES/ ILLNESS,16
 OESOPHAGEAL ULCER,VISITED A HEALTH CARE PROVIDER,16
 OEDEMA PERIPHERAL,NON-SERIOUS INJURIES/ ILLNESS,16
 OEDEMA PERIPHERAL, LIFE THREATENING,16
 OEDEMA MOUTH, VISITED AN ER,16
 OEDEMA MOUTH,VISITED A HEALTH CARE PROVIDER,16
 OEDEMA, VISITED AN ER,16
 OCULAR HYPERAEMIA,LIFE THREATENING,16
 OBSTRUCTIVE AIRWAYS DISORDER, VISITED A HEALTH CARE PROVIDER,16
 Not coded, SERIOUS INJURIES/ ILLNESS,16
 NIGHT SWEATS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 NIGHT SWEATS, VISITED AN ER,16
 NIGHT SWEATS,DISABILITY,16
 NIGHT SWEATS,VISITED A HEALTH CARE PROVIDER,16
 NEUTROPHIL PERCENTAGE INCREASED,HOSPITALIZATION,16
 NEUROLOGICAL SYMPTOM,HOSPITALIZATION,16
 NEURALGIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 NASAL DISCOMFORT,NON-SERIOUS INJURIES/ ILLNESS,16
 NAIL DISORDER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 MYALGIA, SERIOUS INJURIES/ ILLNESS,16
 MUSCULOSKELETAL PAIN, VISITED A HEALTH CARE PROVIDER,16
 MUSCLE TIGHTNESS, HOSPITALIZATION,16
 MULTIPLE SCLEROSIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 MOUTH HAEMORRHAGE,HOSPITALIZATION,16
 MOOD ALTERED, VISITED A HEALTH CARE PROVIDER,16
 METASTATIC NEOPLASM,VISITED A HEALTH CARE PROVIDER,16
 MENTAL IMPAIRMENT, HOSPITALIZATION,16
 MENTAL DISORDER,HOSPITALIZATION,16
 MENORRHAGIA, VISITED A HEALTH CARE PROVIDER,16
 MENORRHAGIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 LYMPHADENOPATHY,HOSPITALIZATION,16
 LOW DENSITY LIPOPROTEIN INCREASED, HOSPITALIZATION,16
 LOCALISED OEDEMA, VISITED A HEALTH CARE PROVIDER,16
 LOCALISED OEDEMA, LIFE THREATENING,16
 LOCALISED INFECTION,HOSPITALIZATION,16
 LIVER INJURY,DISABILITY,16
 LIVER FUNCTION TEST ABNORMAL,LIFE THREATENING,16
 LIVER FUNCTION TEST ABNORMAL,DISABILITY,16
 LIP SWELLING,HOSPITALIZATION,16
 KIDNEY INFECTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 KETOACIDOSIS, SERIOUS INJURIES/ ILLNESS,16
 IRRITABLE BOWEL SYNDROME,NON-SERIOUS INJURIES/ ILLNESS,16
 INFLAMMATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
 INFLAMMATION, VISITED A HEALTH CARE PROVIDER,16
 INFLAMMATION,LIFE THREATENING,16
 HYPOTRICHOSIS,VISITED AN ER,16
 HYPOGLYCAEMIA, VISITED A HEALTH CARE PROVIDER,16
 HYPOACUSIS, VISITED A HEALTH CARE PROVIDER,16
 HYPOACUSIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 HYPERVENTILATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 HYPERVENTILATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 HYPERVENTILATION,HOSPITALIZATION,16
 HYPERTENSION,SERIOUS INJURIES/ ILLNESS,16
 HYPERHIDROSIS,SERIOUS INJURIES/ ILLNESS,16
 HOT FLUSH, HOSPITALIZATION,16
 HOSTILITY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 HORMONE LEVEL ABNORMAL,VISITED AN ER,16
 HIATUS HERNIA, SERIOUS INJURIES/ ILLNESS,16
 HIATUS HERNIA, VISITED A HEALTH CARE PROVIDER,16
 HIATUS HERNIA,VISITED AN ER,16
 HIATUS HERNIA,HOSPITALIZATION,16
 HERNIA, SERIOUS INJURIES/ ILLNESS,16
 HEART RATE IRREGULAR,LIFE THREATENING,16
 HEART RATE ABNORMAL, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
 HEAD INJURY,HOSPITALIZATION,16
 HAIR TEXTURE ABNORMAL,DISABILITY,16
 HAEMORRHAGE INTRACRANIAL,VISITED AN ER,16
 HAEMATOMA, VISITED A HEALTH CARE PROVIDER,16
 GOUT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 GINGIVAL SWELLING,NON-SERIOUS INJURIES/ ILLNESS,16
 GASTROINTESTINAL TRACT IRRITATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 GASTROINTESTINAL SOUNDS ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 GASTROINTESTINAL PAIN, VISITED A HEALTH CARE PROVIDER,16
 GASTROINTESTINAL PAIN, HOSPITALIZATION,16
 GASTROINTESTINAL INFLAMMATION, HOSPITALIZATION,16
 GASTROINTESTINAL DISORDER, LIFE THREATENING,16
 GASTROENTERITIS VIRAL, HOSPITALIZATION,16
 GASTROENTERITIS VIBRIO,VISITED AN ER,16
 GASTROENTERITIS,NON-SERIOUS INJURIES/ ILLNESS,16
 GAMMA-GLUTAMYLTRANSFERASE INCREASED, HOSPITALIZATION,16
 GALLBLADDER DISORDER,VISITED A HEALTH CARE PROVIDER,16
 FURUNCLE,VISITED A HEALTH CARE PROVIDER,16
 FULL BLOOD COUNT DECREASED,HOSPITALIZATION,16
 FOOD POISONING,DISABILITY,16
 FEEDING DISORDER NEONATAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 FAECALOMA, VISITED AN ER,16
 FAECALOMA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 FACE OEDEMA, LIFE THREATENING,16
 EYE INFECTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 EYE DISORDER,VISITED A HEALTH CARE PROVIDER,16
 ESCHERICHIA INFECTION, HOSPITALIZATION,16
 EPISTAXIS, VISITED A HEALTH CARE PROVIDER,16
 EPISTAXIS, VISITED AN ER,16
 ELECTROLYTE IMBALANCE, VISITED AN ER,16
 EAR DISORDER,NON-SERIOUS INJURIES/ ILLNESS,16
 DYSPNOEA EXERTIONAL,NON-SERIOUS INJURIES/ ILLNESS,16
 DYSPHEMIA, HOSPITALIZATION,16
 DYSKINESIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 DYSGRAPHIA,HOSPITALIZATION,16
 DRUG TOXICITY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 DRUG SCREEN POSITIVE, HOSPITALIZATION,16
 DIVERTICULUM,VISITED AN ER,16
 DIVERTICULITIS,VISITED AN ER,16
 DERMATITIS CONTACT, VISITED A HEALTH CARE PROVIDER,16
 DEPRESSION, VISITED AN ER,16
 DEPRESSED MOOD,NON-SERIOUS INJURIES/ ILLNESS,16
 DELUSION,VISITED A HEALTH CARE PROVIDER,16
 DEFAECATION URGENCY, VISITED AN ER,16
 DEEP VEIN THROMBOSIS, SERIOUS INJURIES/ ILLNESS,16
 DEEP VEIN THROMBOSIS,VISITED AN ER,16
 DEAFNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 CYSTITIS,VISITED A HEALTH CARE PROVIDER,16
 CYST,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 CHOLECYSTITIS, VISITED AN ER,16
 CHEST X-RAY ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 CATARACT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 CAROTID ARTERIOSCLEROSIS, VISITED A HEALTH CARE PROVIDER,16
 CAROTID ARTERIOSCLEROSIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 CAROTID ARTERIOSCLEROSIS,HOSPITALIZATION,16
 CARDIOVASCULAR DISORDER, HOSPITALIZATION,16
 CARDIO-RESPIRATORY DISTRESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 CARDIOMEGALY, DEATH,16
 CARDIAC FLUTTER,VISITED A HEALTH CARE PROVIDER,16
 CARDIAC FAILURE CONGESTIVE, SERIOUS INJURIES/ ILLNESS,16
 CARDIAC ENZYMES INCREASED, HOSPITALIZATION,16
 CARDIAC DISORDER,DISABILITY,16
 BREAST CANCER,VISITED A HEALTH CARE PROVIDER,16
 BRADYCARDIA, VISITED AN ER,16
 BODY TEMPERATURE DECREASED, VISITED AN ER,16
 BODY TEMPERATURE DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 BLOOD PRESSURE SYSTOLIC INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),16
 BLOOD POTASSIUM DECREASED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,16
 BLOOD POTASSIUM DECREASED,SERIOUS INJURIES/ ILLNESS,16
 BLOOD IRON DECREASED, VISITED A HEALTH CARE PROVIDER,16
 BLOOD CREATINE INCREASED,HOSPITALIZATION,16
